Barnsley,Wigan,0-4
Birmingham,Watford,0-1
Bournemouth,Charlton,2-1
Burnley,Bolton,1-1
Doncaster,Blackpool,1-3
Leeds,Brighton,2-1
Middlesbrough,Leicester,1-2
Millwall,Yeovil,0-1
Nott'm Forest,Huddersfield,1-0
QPR,Sheffield Weds,2-1
Reading,Ipswich,2-1
Derby,Blackburn,1-1
Blackburn,Nott'm Forest,0-1
Blackpool,Barnsley,1-0
Bolton,Reading,1-1
Brighton,Derby,1-2
Charlton,Middlesbrough,0-1
Huddersfield,QPR,1-1
Ipswich,Millwall,3-0
Sheffield Weds,Burnley,1-2
Watford,Bournemouth,6-1
Yeovil,Birmingham,0-1
Leicester,Leeds,0-0
Doncaster,Blackburn,2-0
Barnsley,Charlton,2-2
Birmingham,Brighton,0-1
Bournemouth,Wigan,1-0
Burnley,Yeovil,2-0
Derby,Leicester,0-1
Leeds,Sheffield Weds,1-1
Middlesbrough,Blackpool,1-1
Millwall,Huddersfield,0-1
Nott'm Forest,Bolton,3-0
QPR,Ipswich,1-0
Reading,Watford,3-3
Wigan,Doncaster,2-2
Blackburn,Barnsley,5-2
Blackpool,Reading,1-0
Bolton,QPR,0-1
Brighton,Burnley,2-0
Huddersfield,Bournemouth,5-1
Ipswich,Leeds,1-2
Leicester,Birmingham,3-2
Sheffield Weds,Millwall,2-2
Yeovil,Derby,0-3
Watford,Nott'm Forest,1-1
Wigan,Middlesbrough,2-2
Barnsley,Huddersfield,2-1
Birmingham,Ipswich,1-1
Blackburn,Bolton,4-1
Blackpool,Watford,1-0
Brighton,Millwall,1-1
Charlton,Leicester,2-1
Derby,Burnley,0-3
Doncaster,Bournemouth,0-1
Leeds,QPR,0-1
Middlesbrough,Sheffield Weds,1-1
Wigan,Nott'm Forest,2-1
Yeovil,Reading,0-1
Bolton,Leeds,0-1
Bournemouth,Blackpool,1-2
Burnley,Blackburn,1-1
Huddersfield,Doncaster,0-0
Ipswich,Middlesbrough,3-1
Leicester,Wigan,2-0
Millwall,Derby,1-5
Nott'm Forest,Barnsley,3-2
QPR,Birmingham,1-0
Sheffield Weds,Yeovil,1-1
Watford,Charlton,1-1
Reading,Brighton,0-0
Bolton,Derby,2-2
Bournemouth,Barnsley,1-0
Burnley,Birmingham,3-0
Huddersfield,Charlton,2-1
Ipswich,Yeovil,2-1
Leicester,Blackburn,2-1
Millwall,Blackpool,3-1
Nott'm Forest,Middlesbrough,2-2
Watford,Doncaster,2-1
QPR,Brighton,0-0
Reading,Leeds,1-0
Barnsley,Watford,1-5
Birmingham,Sheffield Weds,4-1
Blackburn,Huddersfield,0-0
Blackpool,Leicester,2-2
Brighton,Bolton,3-1
Charlton,Millwall,0-1
Derby,Reading,1-3
Doncaster,Nott'm Forest,2-2
Leeds,Burnley,1-2
Middlesbrough,Bournemouth,3-3
Yeovil,QPR,0-1
Wigan,Ipswich,2-0
Huddersfield,Blackpool,1-1
Bolton,Yeovil,1-1
Bournemouth,Blackburn,1-3
Burnley,Charlton,3-0
Ipswich,Brighton,2-0
Leicester,Barnsley,2-1
Millwall,Leeds,2-0
Nott'm Forest,Derby,1-0
QPR,Middlesbrough,2-0
Reading,Birmingham,2-0
Sheffield Weds,Doncaster,0-1
Watford,Wigan,1-0
Barnsley,Reading,1-1
Birmingham,Millwall,4-0
Blackburn,Watford,1-0
Blackpool,Bolton,0-0
Brighton,Sheffield Weds,1-1
Charlton,Nott'm Forest,1-1
Derby,Ipswich,4-4
Doncaster,Burnley,0-2
Leeds,Bournemouth,2-1
Middlesbrough,Huddersfield,1-1
Yeovil,Leicester,1-2
Birmingham,Bolton,1-2
Bournemouth,Millwall,5-2
Brighton,Nott'm Forest,1-3
Burnley,Reading,2-1
Charlton,Blackpool,0-0
Derby,Leeds,3-1
Doncaster,Leicester,1-0
Huddersfield,Watford,1-2
Middlesbrough,Yeovil,4-1
QPR,Barnsley,2-0
Sheffield Weds,Ipswich,1-1
Wigan,Blackburn,2-1
Barnsley,Middlesbrough,3-2
Blackburn,Charlton,0-1
Blackpool,Wigan,1-0
Bolton,Sheffield Weds,1-1
Ipswich,Burnley,0-1
Leicester,Huddersfield,2-1
Millwall,QPR,2-2
Nott'm Forest,Bournemouth,1-1
Reading,Doncaster,4-1
Watford,Derby,2-3
Yeovil,Brighton,0-0
Leeds,Birmingham,4-0
Middlesbrough,Doncaster,4-0
Barnsley,Sheffield Weds,1-1
Blackpool,Blackburn,2-2
Bolton,Ipswich,1-1
Burnley,QPR,2-0
Derby,Birmingham,1-1
Huddersfield,Leeds,3-2
Leicester,Bournemouth,2-1
Reading,Millwall,1-1
Yeovil,Nott'm Forest,3-1
Charlton,Wigan,0-0
Brighton,Watford,1-1
Wigan,QPR,0-0
Ipswich,Barnsley,1-1
Birmingham,Charlton,0-1
Blackburn,Middlesbrough,1-0
Bournemouth,Bolton,0-2
Doncaster,Brighton,1-3
Leeds,Yeovil,2-0
Millwall,Burnley,2-2
Nott'm Forest,Blackpool,0-1
QPR,Derby,2-1
Sheffield Weds,Reading,5-2
Watford,Leicester,0-3
Wigan,Huddersfield,2-1
Barnsley,Doncaster,0-0
Blackpool,Ipswich,2-3
Bolton,Millwall,3-1
Brighton,Blackburn,3-0
Burnley,Bournemouth,1-1
Charlton,Leeds,2-4
Derby,Sheffield Weds,3-0
Huddersfield,Birmingham,1-3
Leicester,Nott'm Forest,0-2
Middlesbrough,Watford,2-2
Reading,QPR,1-1
Yeovil,Wigan,0-1
Doncaster,Yeovil,2-1
Birmingham,Blackpool,1-1
Blackburn,Reading,0-0
Bournemouth,Derby,0-1
Ipswich,Leicester,1-2
Leeds,Middlesbrough,2-1
Millwall,Barnsley,1-0
Nott'm Forest,Burnley,1-1
QPR,Charlton,1-0
Sheffield Weds,Huddersfield,1-2
Watford,Bolton,0-1
Wigan,Brighton,0-1
Charlton,Doncaster,2-0
Nott'm Forest,Reading,2-3
Barnsley,Birmingham,0-3
Blackburn,Leeds,1-0
Blackpool,Sheffield Weds,2-0
Bournemouth,Brighton,1-1
Charlton,Ipswich,0-1
Doncaster,QPR,2-1
Huddersfield,Burnley,2-1
Leicester,Millwall,3-0
Middlesbrough,Bolton,1-0
Watford,Yeovil,0-3
Wigan,Derby,1-3
Birmingham,Doncaster,1-1
Bolton,Huddersfield,0-1
Brighton,Barnsley,1-2
Burnley,Watford,0-0
Ipswich,Blackburn,3-1
Millwall,Nott'm Forest,2-2
QPR,Bournemouth,3-0
Reading,Charlton,1-0
Sheffield Weds,Leicester,2-1
Yeovil,Blackpool,1-0
Derby,Middlesbrough,2-1
Leeds,Wigan,2-0
Birmingham,Middlesbrough,2-2
Bolton,Doncaster,3-0
Brighton,Leicester,3-1
Burnley,Barnsley,1-0
Derby,Blackpool,5-1
Ipswich,Huddersfield,2-1
Leeds,Watford,3-3
Millwall,Wigan,2-1
QPR,Blackburn,0-0
Reading,Bournemouth,1-2
Sheffield Weds,Nott'm Forest,0-1
Yeovil,Charlton,2-2
Barnsley,Yeovil,1-1
Blackburn,Millwall,3-2
Blackpool,QPR,0-2
Bournemouth,Birmingham,0-2
Charlton,Derby,0-2
Doncaster,Leeds,0-3
Huddersfield,Reading,0-1
Leicester,Burnley,1-1
Middlesbrough,Brighton,0-1
Nott'm Forest,Ipswich,0-0
Watford,Sheffield Weds,0-1
Wigan,Bolton,3-2
Birmingham,Nott'm Forest,0-0
Bolton,Charlton,1-1
Brighton,Huddersfield,0-0
Burnley,Blackpool,2-1
Derby,Doncaster,3-1
Ipswich,Watford,1-1
Leeds,Barnsley,0-0
Millwall,Middlesbrough,0-2
QPR,Leicester,0-1
Reading,Wigan,1-2
Sheffield Weds,Bournemouth,1-2
Yeovil,Blackburn,0-1
Barnsley,Bolton,0-1
Blackburn,Sheffield Weds,0-0
Blackpool,Leeds,1-1
Bournemouth,Yeovil,3-0
Charlton,Brighton,3-2
Doncaster,Ipswich,0-3
Huddersfield,Derby,1-1
Leicester,Reading,1-0
Middlesbrough,Burnley,1-0
Nott'm Forest,QPR,2-0
Watford,Millwall,4-0
Wigan,Birmingham,0-0
Barnsley,Derby,1-2
Blackburn,Birmingham,2-3
Blackpool,Brighton,0-1
Bournemouth,Ipswich,1-1
Charlton,Sheffield Weds,1-1
Doncaster,Millwall,0-0
Huddersfield,Yeovil,5-1
Leicester,Bolton,5-3
Middlesbrough,Reading,3-0
Nott'm Forest,Leeds,2-1
Watford,QPR,0-0
Wigan,Burnley,0-0
Birmingham,Barnsley,1-1
Bolton,Middlesbrough,2-2
Brighton,Bournemouth,1-1
Burnley,Huddersfield,3-2
Derby,Wigan,0-1
Ipswich,Charlton,1-1
Leeds,Blackburn,1-2
Millwall,Leicester,1-3
QPR,Doncaster,2-1
Reading,Nott'm Forest,1-1
Sheffield Weds,Blackpool,2-0
Leicester,Derby,4-1
Blackburn,Doncaster,1-0
Blackpool,Middlesbrough,0-2
Bolton,Nott'm Forest,1-1
Brighton,Birmingham,1-0
Huddersfield,Millwall,1-0
Ipswich,QPR,1-3
Sheffield Weds,Leeds,6-0
Watford,Reading,0-1
Wigan,Bournemouth,3-0
Yeovil,Burnley,1-2
Barnsley,Blackpool,2-0
Birmingham,Yeovil,0-2
Bournemouth,Watford,1-1
Burnley,Sheffield Weds,1-1
Derby,Brighton,1-0
Doncaster,Wigan,3-0
Leeds,Leicester,0-1
Middlesbrough,Charlton,1-0
Millwall,Ipswich,1-0
Nott'm Forest,Blackburn,4-1
QPR,Huddersfield,2-1
Reading,Bolton,7-1
Blackburn,Derby,1-1
Blackpool,Doncaster,1-1
Ipswich,Reading,2-0
Leicester,Middlesbrough,2-0
Barnsley,Blackburn,2-2
Birmingham,Leicester,1-2
Bournemouth,Huddersfield,2-1
Burnley,Brighton,0-0
Derby,Yeovil,3-2
Doncaster,Charlton,3-0
Leeds,Ipswich,1-1
Middlesbrough,Wigan,0-0
Millwall,Sheffield Weds,1-1
QPR,Bolton,2-1
Reading,Blackpool,5-1
Nott'm Forest,Watford,4-2
Birmingham,Derby,3-3
Blackburn,Blackpool,2-0
Bournemouth,Leicester,0-1
Doncaster,Middlesbrough,0-0
Ipswich,Bolton,1-0
Leeds,Huddersfield,5-1
Millwall,Reading,0-3
QPR,Burnley,3-3
Sheffield Weds,Barnsley,1-0
Wigan,Charlton,2-1
Nott'm Forest,Yeovil,3-1
Watford,Brighton,2-0
Barnsley,Ipswich,2-2
Blackpool,Nott'm Forest,1-1
Bolton,Bournemouth,2-2
Brighton,Doncaster,1-0
Burnley,Millwall,3-1
Charlton,Birmingham,0-2
Huddersfield,Wigan,1-0
Leicester,Watford,2-2
Middlesbrough,Blackburn,0-0
Reading,Sheffield Weds,0-2
Yeovil,Leeds,1-2
Derby,QPR,1-0
Bolton,Burnley,0-1
Brighton,Leeds,1-0
Huddersfield,Nott'm Forest,0-3
Sheffield Weds,Wigan,0-3
Watford,Birmingham,1-0
Yeovil,Millwall,1-1
Birmingham,Huddersfield,1-2
Bournemouth,Burnley,1-1
Doncaster,Barnsley,2-2
Ipswich,Blackpool,0-0
Millwall,Bolton,1-1
Watford,Middlesbrough,1-0
QPR,Reading,1-3
Sheffield Weds,Derby,0-1
Wigan,Barnsley,2-0
Yeovil,Watford,0-0
Nott'm Forest,Leicester,2-2
Barnsley,Millwall,1-0
Blackpool,Birmingham,1-2
Bolton,Watford,2-0
Brighton,Wigan,1-2
Burnley,Nott'm Forest,3-1
Charlton,QPR,1-0
Derby,Bournemouth,1-0
Huddersfield,Sheffield Weds,0-2
Leicester,Ipswich,3-0
Middlesbrough,Leeds,0-0
Reading,Blackburn,0-1
Yeovil,Doncaster,1-0
Bolton,Blackburn,4-0
Bournemouth,Doncaster,5-0
Burnley,Derby,2-0
Huddersfield,Barnsley,5-0
Ipswich,Birmingham,1-0
Leicester,Charlton,3-0
Millwall,Brighton,0-1
Nott'm Forest,Wigan,1-4
QPR,Leeds,1-1
Reading,Yeovil,1-1
Sheffield Weds,Middlesbrough,1-0
Watford,Blackpool,4-0
Barnsley,Nott'm Forest,1-0
Birmingham,QPR,0-2
Blackpool,Bournemouth,0-1
Brighton,Reading,1-1
Derby,Millwall,0-1
Doncaster,Huddersfield,2-0
Leeds,Bolton,1-5
Middlesbrough,Ipswich,2-0
Yeovil,Sheffield Weds,2-0
Blackburn,Burnley,1-2
Barnsley,Leicester,0-3
Blackpool,Millwall,1-0
Brighton,QPR,2-0
Derby,Bolton,0-0
Doncaster,Watford,2-1
Leeds,Reading,2-4
Middlesbrough,Nott'm Forest,1-1
Yeovil,Ipswich,0-1
Birmingham,Burnley,3-3
Blackburn,Bournemouth,0-1
Charlton,Huddersfield,0-0
Wigan,Sheffield Weds,1-0
Bolton,Brighton,0-2
Bournemouth,Middlesbrough,0-0
Burnley,Leeds,2-1
Huddersfield,Blackburn,2-4
Ipswich,Wigan,1-3
Leicester,Blackpool,3-1
Millwall,Charlton,0-0
Nott'm Forest,Doncaster,0-0
QPR,Yeovil,3-0
Reading,Derby,0-0
Sheffield Weds,Birmingham,4-1
Watford,Barnsley,3-0
Charlton,Bournemouth,1-0
Sheffield Weds,QPR,3-0
Wigan,Yeovil,3-3
Barnsley,Bournemouth,0-1
Birmingham,Reading,1-2
Blackburn,Leicester,1-1
Blackpool,Huddersfield,1-0
Brighton,Ipswich,0-2
Charlton,Burnley,0-3
Derby,Nott'm Forest,5-0
Doncaster,Sheffield Weds,1-0
Leeds,Millwall,2-1
Middlesbrough,QPR,1-3
Wigan,Watford,2-1
Yeovil,Bolton,2-2
Bolton,Blackpool,1-0
Bournemouth,Leeds,4-1
Burnley,Doncaster,2-0
Huddersfield,Middlesbrough,2-2
Ipswich,Derby,2-1
Leicester,Yeovil,1-1
Millwall,Birmingham,2-3
Nott'm Forest,Charlton,0-1
QPR,Wigan,1-0
Reading,Barnsley,1-3
Sheffield Weds,Brighton,1-0
Watford,Blackburn,3-3
Birmingham,Bournemouth,2-4
Bolton,Wigan,1-1
Brighton,Middlesbrough,0-2
Burnley,Leicester,0-2
Derby,Charlton,3-0
Ipswich,Nott'm Forest,1-1
Leeds,Doncaster,1-2
Millwall,Blackburn,2-2
QPR,Blackpool,1-1
Reading,Huddersfield,1-1
Sheffield Weds,Watford,1-4
Yeovil,Barnsley,1-4
Blackburn,Brighton,3-3
Leeds,Charlton,0-1
Wigan,Leicester,2-2
Leicester,Sheffield Weds,2-1
Barnsley,Brighton,0-0
Blackburn,Ipswich,2-0
Blackpool,Yeovil,1-2
Bournemouth,QPR,2-1
Charlton,Reading,0-1
Doncaster,Birmingham,1-3
Huddersfield,Bolton,0-1
Middlesbrough,Derby,1-0
Nott'm Forest,Millwall,1-2
Watford,Burnley,1-1
Wigan,Leeds,1-0
Barnsley,Burnley,0-1
Blackburn,QPR,2-0
Blackpool,Derby,1-3
Bournemouth,Reading,3-1
Charlton,Yeovil,3-2
Doncaster,Bolton,1-2
Huddersfield,Ipswich,0-2
Leicester,Brighton,1-4
Middlesbrough,Birmingham,3-1
Nott'm Forest,Sheffield Weds,3-3
Watford,Leeds,3-0
Wigan,Millwall,0-1
Bolton,Barnsley,1-0
Brighton,Charlton,3-0
Burnley,Middlesbrough,0-1
Derby,Huddersfield,3-1
Ipswich,Doncaster,2-1
Leeds,Blackpool,2-0
Millwall,Watford,2-2
QPR,Nott'm Forest,5-2
Sheffield Weds,Blackburn,3-3
Yeovil,Bournemouth,1-1
Reading,Leicester,1-1
Charlton,Barnsley,1-2
Blackburn,Yeovil,0-0
Blackpool,Burnley,0-1
Bournemouth,Sheffield Weds,2-4
Charlton,Bolton,0-0
Doncaster,Derby,0-2
Huddersfield,Brighton,1-1
Wigan,Reading,3-0
Barnsley,Leeds,0-1
Leicester,QPR,1-0
Middlesbrough,Millwall,1-2
Nott'm Forest,Birmingham,1-0
Watford,Ipswich,3-1
Birmingham,Blackburn,2-4
Brighton,Blackpool,1-1
Burnley,Wigan,2-0
Derby,Barnsley,2-1
Ipswich,Bournemouth,2-2
Leeds,Nott'm Forest,0-2
Millwall,Doncaster,0-0
QPR,Watford,2-1
Sheffield Weds,Charlton,2-3
Yeovil,Huddersfield,1-2
Bolton,Leicester,0-1
Reading,Middlesbrough,2-0
Brighton,Yeovil,2-0
Birmingham,Leeds,1-3
Bournemouth,Nott'm Forest,4-1
Burnley,Ipswich,1-0
Charlton,Blackburn,1-3
Derby,Watford,4-2
Doncaster,Reading,1-3
Huddersfield,Leicester,0-2
Middlesbrough,Barnsley,3-1
QPR,Millwall,1-1
Sheffield Weds,Bolton,1-3
Wigan,Blackpool,0-2
Birmingham,Wigan,0-1
Charlton,Watford,3-1
Barnsley,QPR,2-3
Blackburn,Wigan,4-3
Blackpool,Charlton,0-3
Bolton,Birmingham,2-2
Ipswich,Sheffield Weds,2-1
Leeds,Derby,1-1
Leicester,Doncaster,1-0
Millwall,Bournemouth,1-0
Nott'm Forest,Brighton,1-2
Reading,Burnley,2-2
Watford,Huddersfield,1-4
Yeovil,Middlesbrough,1-4
